Year,Month,Highest temperature (Â°C),Day
2011,1,35.4,24
2011,2,41.5,5
2011,3,33.6,1
2011,4,27,9
2011,5,23.3,21
2011,6,21,1
2011,7,21.4,31
2011,8,25.7,3
2011,9,32.5,23
2011,10,34.3,24
2011,11,37.2,14
2011,12,26.8,26
2012,1,33.2,30
2012,2,33.4,28
2012,3,29.5,1
2012,4,28.3,7
2012,5,29.1,10
2012,6,20.9,15
2012,7,22.9,13
2012,8,29.2,23
2012,9,33.2,28
2012,10,34.2,5
2012,11,33.3,1
2012,12,33,20
2013,1,45.8,18
2013,2,29.7,28
2013,3,33.5,28
2013,4,28.7,28
2013,5,26.4,4
2013,6,22.2,7
2013,7,24.3,17
2013,8,24.7,30
2013,9,31.8,26
2013,10,37.3,10
2013,11,34.2,3
2013,12,36,23
2014,1,36.5,2
2014,2,32.4,26
2014,3,29.7,18
2014,4,29.9,24
2014,5,27.1,22
2014,6,22.8,28
2014,7,25,31
2014,8,23.2,10
2014,9,33.5,30
2014,10,33.8,5
2014,11,36.5,1
2014,12,32,8
2015,1,35.7,17
2015,2,32.1,8
2015,3,36.4,1
2015,4,31.7,16
2015,5,27.5,5
2015,6,22.9,8
2015,7,21,31
2015,8,28.3,22
2015,9,29.8,15
2015,10,37,5
2015,11,40.9,20
2015,12,35.3,11
2016,1,39.2,14
2016,2,32.8,25
2016,3,30.7,14
2016,4,34.2,6
2016,5,28.2,17
2016,6,22.2,16
2016,7,25.7,22
2016,8,25.2,10
2016,9,24.6,14
2016,10,33.6,10
2016,11,32.5,12
2016,12,37.8,13
2017,1,39.4,31
2017,2,37.5,10
2017,3,31.9,22
2017,4,28.7,9
2017,5,26.2,6
2017,6,20.4,12
2017,7,26.5,30
2017,8,25.9,11
2017,9,33.8,13
2017,10,35.4,30
2017,11,27.7,28
2017,12,38.3,20
